Flight,F-IATA,F-City,F-Country,F-Term,F-Time,T-IATA,T-City,T-Country,T-Term,T-Time,Distance,Duration
EZY856,ABZ,Aberdeen,United Kingdom,,06:10,LGW,London Gatwick,United Kingdom,North Terminal,07:50,427,100
EZY858,ABZ,Aberdeen,United Kingdom,,16:10,LGW,London Gatwick,United Kingdom,North Terminal,17:50,427,100
EZY618,ABZ,Aberdeen,United Kingdom,,14:45,LTN,London Luton,United Kingdom,,16:10,376,85
EZY1814,AJA,Ajaccio Corsica,France,,16:55,BOD,Bordeaux,France,Billi L,18:35,482,100
EZY1012,ALC,Alicante,Spain,,09:20,BSL,Basel,Switzerland,checkin Swiss sector,11:35,761,135
EZY3008,ALC,Alicante,Spain,,14:20,BFS,Belfast Intl,United Kingdom,,16:25,1162,185
EZY2724,ALC,Alicante,Spain,,14:20,BRS,Bristol,United Kingdom,,15:55,911,155
EZY3206,ALC,Alicante,Spain,,21:20,EDI,Edinburgh,United Kingdom,,23:30,1227,190
EZY1382,ALC,Alicante,Spain,,09:30,GVA,Geneva,Switzerland,,11:35,646,125
EZY3108,ALC,Alicante,Spain,,14:10,GLA,Glasgow,United Kingdom,,16:20,1228,190
EZY3358,ALC,Alicante,Spain,,23:35,LPL,Liverpool,United Kingdom,,06 Jun 01:20,1045,165
EZY6432,ALC,Alicante,Spain,,12:40,LGW,London Gatwick,United Kingdom,South Terminal,14:20,889,160
EZY8108,ALC,Alicante,Spain,,09:55,LGW,London Gatwick,United Kingdom,North Terminal,11:35,889,160
EZY8112,ALC,Alicante,Spain,,16:10,LGW,London Gatwick,United Kingdom,North Terminal,17:50,889,160
EZY8118,ALC,Alicante,Spain,,22:20,LGW,London Gatwick,United Kingdom,North Terminal,23:50,889,150
EZY8120,ALC,Alicante,Spain,,23:40,LGW,London Gatwick,United Kingdom,North Terminal,06 Jun 01:10,889,150
EZY2314,ALC,Alicante,Spain,,10:20,LTN,London Luton,United Kingdom,,12:00,939,160
EZY2318,ALC,Alicante,Spain,,00:35,LTN,London Luton,United Kingdom,,02:05,939,150
EZY2014,ALC,Alicante,Spain,,11:40,MAN,Manchester,United Kingdom,Terminal 1,13:35,1044,175
EZY2016,ALC,Alicante,Spain,,20:55,MAN,Manchester,United Kingdom,Terminal 1,22:50,1044,175
EZY8004,LEI,Almeria,Spain,,20:50,LGW,London Gatwick,United Kingdom,North Terminal,22:35,993,165
EZY1222,AMS,Amsterdam,Netherlands,,08:15,BSL,Basel,Switzerland,checkin Swiss sector,09:30,349,75
EZY1224,AMS,Amsterdam,Netherlands,,17:10,BSL,Basel,Switzerland,checkin Swiss sector,18:25,349,75
EZY7863,AMS,Amsterdam,Netherlands,,19:00,BSL,Basel,Switzerland,checkin Swiss sector,20:15,349,75
EZY3052,AMS,Amsterdam,Netherlands,,21:55,BFS,Belfast Intl,United Kingdom,,22:35,481,100
EZY5282,AMS,Amsterdam,Netherlands,,08:30,BER,Berlin Brandenburg,Germany,Terminal 1,09:55,387,85
EZY5284,AMS,Amsterdam,Netherlands,,13:50,BER,Berlin Brandenburg,Germany,Terminal 1,15:15,387,85
EZY5288,AMS,Amsterdam,Netherlands,,21:30,BER,Berlin Brandenburg,Germany,Terminal 1,22:55,387,85
EZY7841,AMS,Amsterdam,Netherlands,,07:00,BHX,Birmingham,United Kingdom,,07:30,399,90
EZY7843,AMS,Amsterdam,Netherlands,,14:40,BHX,Birmingham,United Kingdom,,15:10,399,90
EZY2922,AMS,Amsterdam,Netherlands,,09:55,BRS,Bristol,United Kingdom,,10:15,327,80
EZY2924,AMS,Amsterdam,Netherlands,,18:45,BRS,Bristol,United Kingdom,,19:05,327,80
EZY2926,AMS,Amsterdam,Netherlands,,19:20,BRS,Bristol,United Kingdom,,19:40,327,80
EZY7935,AMS,Amsterdam,Netherlands,,07:20,CPH,Copenhagen,Denmark,,08:55,450,95
EZY7937,AMS,Amsterdam,Netherlands,,14:50,CPH,Copenhagen,Denmark,,16:25,450,95
EZY3302,AMS,Amsterdam,Netherlands,,13:10,EDI,Edinburgh,United Kingdom,,13:45,415,95
EZY7837,AMS,Amsterdam,Netherlands,,18:45,EDI,Edinburgh,United Kingdom,,19:15,415,90
EZY1518,AMS,Amsterdam,Netherlands,,17:20,GVA,Geneva,Switzerland,,18:50,424,90
EZY1520,AMS,Amsterdam,Netherlands,,20:35,GVA,Geneva,Switzerland,,22:05,424,90
EZY7865,AMS,Amsterdam,Netherlands,,07:20,GVA,Geneva,Switzerland,,08:50,424,90
EZY7835,AMS,Amsterdam,Netherlands,,13:45,GLA,Glasgow,United Kingdom,,14:20,447,95
EZY7962,AMS,Amsterdam,Netherlands,,15:45,LIS,Lisbon,Portugal,T1,17:50,1148,185
EZY3442,AMS,Amsterdam,Netherlands,,09:10,LPL,Liverpool,United Kingdom,,09:30,327,80
EZY8671,AMS,Amsterdam,Netherlands,,07:05,LGW,London Gatwick,United Kingdom,North Terminal,07:20,227,75
EZY8673,AMS,Amsterdam,Netherlands,,08:55,LGW,London Gatwick,United Kingdom,North Terminal,09:10,227,75
EZY8675,AMS,Amsterdam,Netherlands,,10:55,LGW,London Gatwick,United Kingdom,North Terminal,11:15,227,80
EZY8679,AMS,Amsterdam,Netherlands,,15:50,LGW,London Gatwick,United Kingdom,North Terminal,16:10,227,80
EZY8681,AMS,Amsterdam,Netherlands,,17:15,LGW,London Gatwick,United Kingdom,North Terminal,17:30,227,75
EZY8683,AMS,Amsterdam,Netherlands,,19:05,LGW,London Gatwick,United Kingdom,North Terminal,19:25,227,80
EZY8685,AMS,Amsterdam,Netherlands,,20:15,LGW,London Gatwick,United Kingdom,North Terminal,20:30,227,75
EZY8687,AMS,Amsterdam,Netherlands,,21:30,LGW,London Gatwick,United Kingdom,North Terminal,21:45,227,75
EZY2512,AMS,Amsterdam,Netherlands,,08:45,LTN,London Luton,United Kingdom,,08:55,221,70
EZY2514,AMS,Amsterdam,Netherlands,,09:45,LTN,London Luton,United Kingdom,,09:55,221,70
EZY2516,AMS,Amsterdam,Netherlands,,12:30,LTN,London Luton,United Kingdom,,12:40,221,70
EZY2518,AMS,Amsterdam,Netherlands,,10:45,LTN,London Luton,United Kingdom,,10:55,221,70
EZY2520,AMS,Amsterdam,Netherlands,,18:50,LTN,London Luton,United Kingdom,,19:00,221,70
EZY2522,AMS,Amsterdam,Netherlands,,21:35,LTN,London Luton,United Kingdom,,21:45,221,70
EZY7831,AMS,Amsterdam,Netherlands,,19:20,LTN,London Luton,United Kingdom,,19:30,221,70
EZY7552,AMS,Amsterdam,Netherlands,,19:45,SEN,London Southend,United Kingdom,,19:45,181,60
EZY7839,AMS,Amsterdam,Netherlands,,11:10,STN,London Stansted,United Kingdom,,11:15,195,65
EZY7845,AMS,Amsterdam,Netherlands,,18:55,STN,London Stansted,United Kingdom,,19:00,195,65
EZY7881,AMS,Amsterdam,Netherlands,,07:00,PMI,Majorca Palma,Spain,,09:30,888,150
EZY7887,AMS,Amsterdam,Netherlands,,12:35,PMI,Majorca Palma,Spain,,15:05,888,150
EZY7889,AMS,Amsterdam,Netherlands,,07:50,AGP,Malaga,Spain,,11:00,1297,190
EZY2162,AMS,Amsterdam,Netherlands,,09:55,MAN,Manchester,United Kingdom,Terminal 1,10:15,303,80
